Model,Val_Accuracy,Test_acc,Test_F1,Train_set,bacteria_set
SVM,1.0,1.0,1.0,S1_S2,SA_SE_SM
XGBoost,1.0,0.8550846720293603,0.8312415995836273,S1_S2,SA_SE_SM
LGBM,1.0,0.9985920951680389,0.9985931125920599,S1_S2,SA_SE_SM
GB,1.0,1.0,1.0,S1_S2,SA_SE_SM
SVM,1.0,1.0,1.0,C1_C2,EC_LM
XGBoost,1.0,1.0,1.0,C1_C2,EC_LM
LGBM,1.0,1.0,1.0,C1_C2,EC_LM
GB,1.0,1.0,1.0,C1_C2,EC_LM
SVM,1.0,1.0,1.0,C1_C2,KP_PA
XGBoost,1.0,1.0,1.0,C1_C2,KP_PA
LGBM,1.0,1.0,1.0,C1_C2,KP_PA
GB,1.0,1.0,1.0,C1_C2,KP_PA
SVM,0.9969287733750485,0.9915456986379858,0.9915492719510306,S1_S2,KP_PA
XGBoost,0.9999497696580031,0.9999878092265868,0.9999878092352824,S1_S2,KP_PA
LGBM,0.9999784727105727,1.0,1.0,S1_S2,KP_PA
GB,0.9995335753957434,1.0,1.0,S1_S2,KP_PA
